Date,Station,Hauteur,Opérationnel
2018-05-15,01 VILLEURBANNE,7.6000000000000005,True
2018-05-16,01 VILLEURBANNE,0.6000000000000001,True
2018-05-21,01 VILLEURBANNE,0.0,True
2018-05-22,01 VILLEURBANNE,26.0,True
2018-05-23,01 VILLEURBANNE,10.8,True
2018-05-24,01 VILLEURBANNE,0.0,True
2018-05-25,01 VILLEURBANNE,0.0,True
2018-05-26,01 VILLEURBANNE,0.0,True
2018-05-27,01 VILLEURBANNE,2.8000000000000003,True
2018-05-28,01 VILLEURBANNE,2.6,True
2018-05-29,01 VILLEURBANNE,0.0,True
2018-05-30,01 VILLEURBANNE,6.0,True
2018-05-31,01 VILLEURBANNE,8.6,True
2018-06-01,01 VILLEURBANNE,0.0,True
2018-06-03,01 VILLEURBANNE,0.0,True
2018-06-04,01 VILLEURBANNE,7.800000000000001,True
2018-06-05,01 VILLEURBANNE,0.4,True
2018-06-06,01 VILLEURBANNE,0.0,True
2018-06-07,01 VILLEURBANNE,7.6000000000000005,True
2018-06-08,01 VILLEURBANNE,0.8,True
2018-06-09,01 VILLEURBANNE,0.0,True
2018-06-10,01 VILLEURBANNE,0.0,True
2018-06-11,01 VILLEURBANNE,10.8,True
2018-06-12,01 VILLEURBANNE,37.800000000000004,True
2018-06-13,01 VILLEURBANNE,1.0,True
2018-06-14,01 VILLEURBANNE,0.0,True
2018-07-01,01 VILLEURBANNE,0.0,True
2018-07-02,01 VILLEURBANNE,6.6,True
2018-07-03,01 VILLEURBANNE,4.6,True
2018-07-04,01 VILLEURBANNE,2.2,True
2018-07-05,01 VILLEURBANNE,5.2,True
2018-07-06,01 VILLEURBANNE,1.0,True
2018-07-07,01 VILLEURBANNE,0.0,True
2018-07-12,01 VILLEURBANNE,0.0,True
2018-07-13,01 VILLEURBANNE,0.0,True
2018-07-14,01 VILLEURBANNE,4.4,True
2018-07-15,01 VILLEURBANNE,10.6,True
2018-07-17,01 VILLEURBANNE,0.0,True
2018-07-18,01 VILLEURBANNE,0.0,True
2018-07-19,01 VILLEURBANNE,0.0,True
2018-07-20,01 VILLEURBANNE,16.4,True
2018-07-21,01 VILLEURBANNE,0.0,True
2018-07-24,01 VILLEURBANNE,0.0,True
2018-07-25,01 VILLEURBANNE,0.0,True
2018-07-26,01 VILLEURBANNE,0.0,True
2018-07-27,01 VILLEURBANNE,0.0,True
2018-07-28,01 VILLEURBANNE,0.0,True
2018-08-05,01 VILLEURBANNE,0.0,True
2018-08-06,01 VILLEURBANNE,0.0,True
2018-08-07,01 VILLEURBANNE,0.0,True
2018-08-08,01 VILLEURBANNE,0.0,True
2018-08-09,01 VILLEURBANNE,13.4,True
2018-08-12,01 VILLEURBANNE,0.6000000000000001,True
2018-08-13,01 VILLEURBANNE,11.4,True
2018-08-14,01 VILLEURBANNE,0.0,True
2018-08-17,01 VILLEURBANNE,0.8,True
2018-08-20,01 VILLEURBANNE,0.0,True
2018-08-21,01 VILLEURBANNE,0.0,True
2018-08-22,01 VILLEURBANNE,0.2,True
2018-08-23,01 VILLEURBANNE,0.0,True
2018-08-25,01 VILLEURBANNE,0.0,True
2018-08-26,01 VILLEURBANNE,0.0,True
2018-08-27,01 VILLEURBANNE,0.0,True
2018-08-29,01 VILLEURBANNE,1.7999999999999998,True
2018-08-31,01 VILLEURBANNE,0.0,True
2018-09-01,01 VILLEURBANNE,0.0,True
2018-09-02,01 VILLEURBANNE,0.0,True
2018-09-03,01 VILLEURBANNE,0.0,True
2018-09-04,01 VILLEURBANNE,0.0,True
2018-09-05,01 VILLEURBANNE,0.0,True
2018-09-06,01 VILLEURBANNE,0.4,False
2018-09-09,01 VILLEURBANNE,0.0,True
2018-09-10,01 VILLEURBANNE,1.0,False
2018-09-11,01 VILLEURBANNE,0.0,True
2018-09-12,01 VILLEURBANNE,0.2,True
2018-09-13,01 VILLEURBANNE,2.2,True
2018-09-14,01 VILLEURBANNE,0.0,True
2018-09-15,01 VILLEURBANNE,0.0,True
2018-09-16,01 VILLEURBANNE,0.0,True
2018-09-17,01 VILLEURBANNE,0.0,True
2018-09-18,01 VILLEURBANNE,0.0,True
2018-09-19,01 VILLEURBANNE,0.0,True
2018-09-20,01 VILLEURBANNE,0.0,True
2018-09-21,01 VILLEURBANNE,0.2,True
2018-09-22,01 VILLEURBANNE,0.0,True
2018-09-23,01 VILLEURBANNE,1.4,True
2018-09-24,01 VILLEURBANNE,0.0,True
2018-09-26,01 VILLEURBANNE,0.0,True
2018-09-27,01 VILLEURBANNE,0.2,False
2018-09-28,01 VILLEURBANNE,0.0,True
2018-09-29,01 VILLEURBANNE,0.0,True
2018-09-30,01 VILLEURBANNE,1.0,True
2018-10-01,01 VILLEURBANNE,0.0,True
2018-10-02,01 VILLEURBANNE,0.0,True
2018-10-03,01 VILLEURBANNE,0.0,True
2018-10-05,01 VILLEURBANNE,0.0,True
2018-10-06,01 VILLEURBANNE,1.2000000000000002,True
2018-10-07,01 VILLEURBANNE,25.2,True
2018-10-08,01 VILLEURBANNE,0.0,True
2018-10-09,01 VILLEURBANNE,0.0,True
2018-10-10,01 VILLEURBANNE,0.8,True
2018-10-11,01 VILLEURBANNE,0.8,True
2018-10-14,01 VILLEURBANNE,0.0,True
2018-10-15,01 VILLEURBANNE,0.0,True
2018-10-16,01 VILLEURBANNE,0.0,True
2018-10-19,01 VILLEURBANNE,0.0,True
2018-10-22,01 VILLEURBANNE,0.0,True
2018-10-27,01 VILLEURBANNE,2.2,True
2018-10-28,01 VILLEURBANNE,6.800000000000001,True
2018-10-29,01 VILLEURBANNE,46.800000000000004,True
2018-10-30,01 VILLEURBANNE,7.800000000000001,True
2018-10-31,01 VILLEURBANNE,0.2,True
2018-11-01,01 VILLEURBANNE,2.2,True
2018-11-06,01 VILLEURBANNE,0.6000000000000001,True
2018-11-07,01 VILLEURBANNE,10.8,True
2018-11-08,01 VILLEURBANNE,0.0,True
2018-11-09,01 VILLEURBANNE,0.6000000000000001,True
2018-11-10,01 VILLEURBANNE,1.0,True
2018-11-11,01 VILLEURBANNE,1.8,True
2018-11-13,01 VILLEURBANNE,2.0,True
2018-11-14,01 VILLEURBANNE,0.0,True
2018-11-16,01 VILLEURBANNE,0.0,True
2018-11-17,01 VILLEURBANNE,0.6000000000000001,True
2018-11-19,01 VILLEURBANNE,0.0,True
2018-11-20,01 VILLEURBANNE,0.0,True
2018-11-21,01 VILLEURBANNE,0.0,True
2018-11-22,01 VILLEURBANNE,0.0,True
2018-11-23,01 VILLEURBANNE,0.0,True
2018-11-24,01 VILLEURBANNE,0.0,True
2018-11-25,01 VILLEURBANNE,0.0,True
2018-11-26,01 VILLEURBANNE,0.0,True
2018-11-27,01 VILLEURBANNE,0.0,True
2018-11-30,01 VILLEURBANNE,0.0,True
2018-12-01,01 VILLEURBANNE,0.0,True
2018-12-02,01 VILLEURBANNE,0.0,True
2018-12-03,01 VILLEURBANNE,0.0,True
2018-12-04,01 VILLEURBANNE,0.0,True
2018-12-05,01 VILLEURBANNE,0.0,True
2018-12-06,01 VILLEURBANNE,0.0,True
2018-12-07,01 VILLEURBANNE,0.0,True
2018-12-08,01 VILLEURBANNE,0.0,True
2018-12-09,01 VILLEURBANNE,0.0,True
2018-12-10,01 VILLEURBANNE,0.0,True
2018-12-11,01 VILLEURBANNE,0.0,True
2018-12-12,01 VILLEURBANNE,0.0,True
2018-12-15,01 VILLEURBANNE,0.0,True
2018-12-16,01 VILLEURBANNE,0.0,True
2018-12-17,01 VILLEURBANNE,0.0,True
2018-12-18,01 VILLEURBANNE,0.0,True
2018-12-19,01 VILLEURBANNE,0.0,True
2018-12-20,01 VILLEURBANNE,0.0,True
2018-12-21,01 VILLEURBANNE,0.0,True
2018-12-22,01 VILLEURBANNE,0.0,True
2018-12-23,01 VILLEURBANNE,0.0,True
2018-12-24,01 VILLEURBANNE,0.0,True
2018-12-28,01 VILLEURBANNE,0.0,True
2018-12-30,01 VILLEURBANNE,0.0,True
2018-12-31,01 VILLEURBANNE,0.0,True
2019-01-01,01 VILLEURBANNE,0.0,True
